timestamp_ns,timestamp_iso,market_id,market_mid_price,best_bid,best_ask,spread_bps,fair_value,fair_value_skew,bias,ai_confidence,context_age_seconds,reference_volatility,current_volatility,vol_multiplier,quoted_bid,quoted_ask,effective_spread_bps,inventory_value,inventory_direction,inventory_skew,hft_total_value,decision,decision_reason,trade_side,trade_size,execution_price,fill_latency_ms,slippage_bps,markout_1s,markout_5s
1769555302726554806,2026-01-27T23:08:22.726557+00:00,stress_test_market_001,0.495,0.49,0.5,202,0.5,0.005,0.2,0.7,0.2,0.01,0.006629,0.663,0.0,0.0,47,0.0,NEUTRAL,0,0,SKIP,NO_EDGE,NONE,0.0,0.0,,,,
1769555302736785004,2026-01-27T23:08:22.736787+00:00,stress_test_market_001,0.495,0.49,0.5,202,0.5,0.005,0.2,0.7,0.2,0.01,0.006352,0.635,0.0,0.0,45,0.0,NEUTRAL,0,0,SKIP,NO_EDGE,NONE,0.0,0.0,,,,
1769555302746970497,2026-01-27T23:08:22.746972+00:00,stress_test_market_001,0.495,0.49,0.5,202,0.5,0.005,0.2,0.7,0.2,0.01,0.006106,0.611,0.0,0.0,43,0.0,NEUTRAL,0,0,SKIP,NO_EDGE,NONE,0.0,0.0,,,,
1769555302757194910,2026-01-27T23:08:22.757197+00:00,stress_test_market_001,0.495,0.49,0.5,202,0.5,0.005,0.2,0.7,0.2,0.01,0.005887,0.589,0.0,0.0,41,0.0,NEUTRAL,0,0,SKIP,NO_EDGE,NONE,0.0,0.0,,,,
1769555302767558855,2026-01-27T23:08:22.767560+00:00,stress_test_market_001,0.5,0.49,0.51,400,0.525,0.025,1.0,0.9,420.0,0.01,0.01,1.0,0.52735,0.53265,50,0.0,NEUTRAL,0,0,TRADE,BUY_OPPORTUNITY,BUY,10.0,0.51,,,,
1769555302777693583,2026-01-27T23:08:22.777694+00:00,stress_test_market_001,0.48,0.47,0.49,416,0.525,0.045,1.0,0.9,420.0,0.01,0.01,1.0,0.52735,0.53265,50,0.0,NEUTRAL,0,0,TRADE,BUY_OPPORTUNITY,BUY,10.0,0.49,,,,
1769555302787871749,2026-01-27T23:08:22.787872+00:00,stress_test_market_001,0.45,0.44,0.46,444,0.525,0.075,1.0,0.9,420.0,0.01,0.01,1.0,0.52735,0.53265,50,0.0,NEUTRAL,0,0,TRADE,BUY_OPPORTUNITY,BUY,10.0,0.46,,,,
1769555302798047169,2026-01-27T23:08:22.798048+00:00,stress_test_market_001,0.42,0.41,0.43,476,0.525,0.105,1.0,0.9,420.0,0.01,0.01,1.0,0.52735,0.53265,50,0.0,NEUTRAL,0,0,TRADE,BUY_OPPORTUNITY,BUY,10.0,0.43,,,,
1769555302808354399,2026-01-27T23:08:22.808355+00:00,stress_test_market_001,0.4,0.39,0.41,500,0.525,0.125,1.0,0.9,420.0,0.01,0.010831,1.083,0.527551,0.53328,54,0.0,NEUTRAL,0,0,TRADE,BUY_OPPORTUNITY,BUY,10.0,0.41,,,,
1769555302818786620,2026-01-27T23:08:22.818788+00:00,stress_test_market_001,0.5,0.48,0.52,800,0.5,0.0,0.0,0.5,0.0,0.01,0.01,1.0,0.0,0.0,100,0.0,NEUTRAL,0,0,SKIP,NO_EDGE,NONE,0.0,0.0,,,,
1769555302828969409,2026-01-27T23:08:22.828970+00:00,stress_test_market_001,0.49,0.47,0.51,816,0.5,0.01,0.0,0.5,0.0,0.01,0.00575,0.575,0.0,0.0,57,0.0,NEUTRAL,0,0,SKIP,NO_EDGE,NONE,0.0,0.0,,,,
1769555302839150555,2026-01-27T23:08:22.839152+00:00,stress_test_market_001,0.48,0.46,0.5,833,0.5,0.02,0.0,0.5,0.0,0.01,0.00753,0.753,0.0,0.0,75,0.0,NEUTRAL,0,0,SKIP,NO_EDGE,NONE,0.0,0.0,,,,
1769555302849325015,2026-01-27T23:08:22.849326+00:00,stress_test_market_001,0.47,0.45,0.49,851,0.5,0.03,0.0,0.5,0.0,0.01,0.008602,0.86,0.4957,0.5043,86,0.0,NEUTRAL,0,0,TRADE,BUY_OPPORTUNITY,BUY,10.0,0.49,,,,
1769555302859513281,2026-01-27T23:08:22.859514+00:00,stress_test_market_001,0.475,0.455,0.495,842,0.5,0.025,0.0,0.5,0.0,0.01,0.009184,0.918,0.49545,0.50455,91,0.0,NEUTRAL,0,0,TRADE,BUY_OPPORTUNITY,BUY,10.0,0.495,,,,
